asset_id,ticker,name,country,exchange,sector,asset_class,currency
1,MMM,MMM,US,NYSE/NASDAQ,Unknown,Equity,USD
2,AOS,AOS,US,NYSE/NASDAQ,Unknown,Equity,USD
3,ABT,ABT,US,NYSE/NASDAQ,Unknown,Equity,USD
4,ABBV,ABBV,US,NYSE/NASDAQ,Unknown,Equity,USD
5,ACN,ACN,US,NYSE/NASDAQ,Unknown,Equity,USD
6,ADBE,ADBE,US,NYSE/NASDAQ,Unknown,Equity,USD
7,AMD,AMD,US,NYSE/NASDAQ,Unknown,Equity,USD
8,AES,AES,US,NYSE/NASDAQ,Unknown,Equity,USD
9,AFL,AFL,US,NYSE/NASDAQ,Unknown,Equity,USD
10,A,A,US,NYSE/NASDAQ,Unknown,Equity,USD
11,APD,APD,US,NYSE/NASDAQ,Unknown,Equity,USD
12,ABNB,ABNB,US,NYSE/NASDAQ,Unknown,Equity,USD
13,AKAM,AKAM,US,NYSE/NASDAQ,Unknown,Equity,USD
14,ALB,ALB,US,NYSE/NASDAQ,Unknown,Equity,USD
15,ARE,ARE,US,NYSE/NASDAQ,Unknown,Equity,USD
16,ALGN,ALGN,US,NYSE/NASDAQ,Unknown,Equity,USD
17,ALLE,ALLE,US,NYSE/NASDAQ,Unknown,Equity,USD
18,LNT,LNT,US,NYSE/NASDAQ,Unknown,Equity,USD
19,ALL,ALL,US,NYSE/NASDAQ,Unknown,Equity,USD
20,GOOGL,GOOGL,US,NYSE/NASDAQ,Unknown,Equity,USD
21,GOOG,GOOG,US,NYSE/NASDAQ,Unknown,Equity,USD
22,MO,MO,US,NYSE/NASDAQ,Unknown,Equity,USD
23,AMZN,AMZN,US,NYSE/NASDAQ,Unknown,Equity,USD
24,AMCR,AMCR,US,NYSE/NASDAQ,Unknown,Equity,USD
25,AEE,AEE,US,NYSE/NASDAQ,Unknown,Equity,USD
26,AEP,AEP,US,NYSE/NASDAQ,Unknown,Equity,USD
27,AXP,AXP,US,NYSE/NASDAQ,Unknown,Equity,USD
28,AIG,AIG,US,NYSE/NASDAQ,Unknown,Equity,USD
29,AMT,AMT,US,NYSE/NASDAQ,Unknown,Equity,USD
30,AWK,AWK,US,NYSE/NASDAQ,Unknown,Equity,USD
31,AMP,AMP,US,NYSE/NASDAQ,Unknown,Equity,USD
32,AME,AME,US,NYSE/NASDAQ,Unknown,Equity,USD
33,AMGN,AMGN,US,NYSE/NASDAQ,Unknown,Equity,USD
34,APH,APH,US,NYSE/NASDAQ,Unknown,Equity,USD
35,ADI,ADI,US,NYSE/NASDAQ,Unknown,Equity,USD
36,AON,AON,US,NYSE/NASDAQ,Unknown,Equity,USD
37,APA,APA,US,NYSE/NASDAQ,Unknown,Equity,USD
38,APO,APO,US,NYSE/NASDAQ,Unknown,Equity,USD
39,AAPL,AAPL,US,NYSE/NASDAQ,Unknown,Equity,USD
40,AMAT,AMAT,US,NYSE/NASDAQ,Unknown,Equity,USD
41,APP,APP,US,NYSE/NASDAQ,Unknown,Equity,USD
42,APTV,APTV,US,NYSE/NASDAQ,Unknown,Equity,USD
43,ACGL,ACGL,US,NYSE/NASDAQ,Unknown,Equity,USD
44,ADM,ADM,US,NYSE/NASDAQ,Unknown,Equity,USD
45,ARES,ARES,US,NYSE/NASDAQ,Unknown,Equity,USD
46,ANET,ANET,US,NYSE/NASDAQ,Unknown,Equity,USD
47,AJG,AJG,US,NYSE/NASDAQ,Unknown,Equity,USD
48,AIZ,AIZ,US,NYSE/NASDAQ,Unknown,Equity,USD
49,T,T,US,NYSE/NASDAQ,Unknown,Equity,USD
50,ATO,ATO,US,NYSE/NASDAQ,Unknown,Equity,USD
51,ADSK,ADSK,US,NYSE/NASDAQ,Unknown,Equity,USD
52,ADP,ADP,US,NYSE/NASDAQ,Unknown,Equity,USD
53,AZO,AZO,US,NYSE/NASDAQ,Unknown,Equity,USD
54,AVB,AVB,US,NYSE/NASDAQ,Unknown,Equity,USD
55,AVY,AVY,US,NYSE/NASDAQ,Unknown,Equity,USD
56,AXON,AXON,US,NYSE/NASDAQ,Unknown,Equity,USD
57,BKR,BKR,US,NYSE/NASDAQ,Unknown,Equity,USD
58,BALL,BALL,US,NYSE/NASDAQ,Unknown,Equity,USD
59,BAC,BAC,US,NYSE/NASDAQ,Unknown,Equity,USD
60,BAX,BAX,US,NYSE/NASDAQ,Unknown,Equity,USD
61,BDX,BDX,US,NYSE/NASDAQ,Unknown,Equity,USD
62,BRK-B,BRK-B,US,NYSE/NASDAQ,Unknown,Equity,USD
63,BBY,BBY,US,NYSE/NASDAQ,Unknown,Equity,USD
64,TECH,TECH,US,NYSE/NASDAQ,Unknown,Equity,USD
65,BIIB,BIIB,US,NYSE/NASDAQ,Unknown,Equity,USD
66,BLK,BLK,US,NYSE/NASDAQ,Unknown,Equity,USD
67,BX,BX,US,NYSE/NASDAQ,Unknown,Equity,USD
68,XYZ,XYZ,US,NYSE/NASDAQ,Unknown,Equity,USD
69,BK,BK,US,NYSE/NASDAQ,Unknown,Equity,USD
70,BA,BA,US,NYSE/NASDAQ,Unknown,Equity,USD
71,BKNG,BKNG,US,NYSE/NASDAQ,Unknown,Equity,USD
72,BSX,BSX,US,NYSE/NASDAQ,Unknown,Equity,USD
73,BMY,BMY,US,NYSE/NASDAQ,Unknown,Equity,USD
74,AVGO,AVGO,US,NYSE/NASDAQ,Unknown,Equity,USD
75,BR,BR,US,NYSE/NASDAQ,Unknown,Equity,USD
76,BRO,BRO,US,NYSE/NASDAQ,Unknown,Equity,USD
77,BF-B,BF-B,US,NYSE/NASDAQ,Unknown,Equity,USD
78,BLDR,BLDR,US,NYSE/NASDAQ,Unknown,Equity,USD
79,BG,BG,US,NYSE/NASDAQ,Unknown,Equity,USD
80,BXP,BXP,US,NYSE/NASDAQ,Unknown,Equity,USD
81,CHRW,CHRW,US,NYSE/NASDAQ,Unknown,Equity,USD
82,CDNS,CDNS,US,NYSE/NASDAQ,Unknown,Equity,USD
83,CPT,CPT,US,NYSE/NASDAQ,Unknown,Equity,USD
84,CPB,CPB,US,NYSE/NASDAQ,Unknown,Equity,USD
85,COF,COF,US,NYSE/NASDAQ,Unknown,Equity,USD
86,CAH,CAH,US,NYSE/NASDAQ,Unknown,Equity,USD
87,CCL,CCL,US,NYSE/NASDAQ,Unknown,Equity,USD
88,CARR,CARR,US,NYSE/NASDAQ,Unknown,Equity,USD
89,CVNA,CVNA,US,NYSE/NASDAQ,Unknown,Equity,USD
90,CAT,CAT,US,NYSE/NASDAQ,Unknown,Equity,USD
91,CBOE,CBOE,US,NYSE/NASDAQ,Unknown,Equity,USD
92,CBRE,CBRE,US,NYSE/NASDAQ,Unknown,Equity,USD
93,CDW,CDW,US,NYSE/NASDAQ,Unknown,Equity,USD
94,COR,COR,US,NYSE/NASDAQ,Unknown,Equity,USD
95,CNC,CNC,US,NYSE/NASDAQ,Unknown,Equity,USD
96,CNP,CNP,US,NYSE/NASDAQ,Unknown,Equity,USD
97,CF,CF,US,NYSE/NASDAQ,Unknown,Equity,USD
98,CRL,CRL,US,NYSE/NASDAQ,Unknown,Equity,USD
99,SCHW,SCHW,US,NYSE/NASDAQ,Unknown,Equity,USD
100,CHTR,CHTR,US,NYSE/NASDAQ,Unknown,Equity,USD
101,CVX,CVX,US,NYSE/NASDAQ,Unknown,Equity,USD
102,CMG,CMG,US,NYSE/NASDAQ,Unknown,Equity,USD
103,CB,CB,US,NYSE/NASDAQ,Unknown,Equity,USD
104,CHD,CHD,US,NYSE/NASDAQ,Unknown,Equity,USD
105,CI,CI,US,NYSE/NASDAQ,Unknown,Equity,USD
106,CINF,CINF,US,NYSE/NASDAQ,Unknown,Equity,USD
107,CTAS,CTAS,US,NYSE/NASDAQ,Unknown,Equity,USD
108,CSCO,CSCO,US,NYSE/NASDAQ,Unknown,Equity,USD
109,C,C,US,NYSE/NASDAQ,Unknown,Equity,USD
110,CFG,CFG,US,NYSE/NASDAQ,Unknown,Equity,USD
111,CLX,CLX,US,NYSE/NASDAQ,Unknown,Equity,USD
112,CME,CME,US,NYSE/NASDAQ,Unknown,Equity,USD
113,CMS,CMS,US,NYSE/NASDAQ,Unknown,Equity,USD
114,KO,KO,US,NYSE/NASDAQ,Unknown,Equity,USD
115,CTSH,CTSH,US,NYSE/NASDAQ,Unknown,Equity,USD
116,COIN,COIN,US,NYSE/NASDAQ,Unknown,Equity,USD
117,CL,CL,US,NYSE/NASDAQ,Unknown,Equity,USD
118,CMCSA,CMCSA,US,NYSE/NASDAQ,Unknown,Equity,USD
119,FIX,FIX,US,NYSE/NASDAQ,Unknown,Equity,USD
120,CAG,CAG,US,NYSE/NASDAQ,Unknown,Equity,USD
121,COP,COP,US,NYSE/NASDAQ,Unknown,Equity,USD
122,ED,ED,US,NYSE/NASDAQ,Unknown,Equity,USD
123,STZ,STZ,US,NYSE/NASDAQ,Unknown,Equity,USD
124,CEG,CEG,US,NYSE/NASDAQ,Unknown,Equity,USD
125,COO,COO,US,NYSE/NASDAQ,Unknown,Equity,USD
126,CPRT,CPRT,US,NYSE/NASDAQ,Unknown,Equity,USD
127,GLW,GLW,US,NYSE/NASDAQ,Unknown,Equity,USD
128,CPAY,CPAY,US,NYSE/NASDAQ,Unknown,Equity,USD
129,CTVA,CTVA,US,NYSE/NASDAQ,Unknown,Equity,USD
130,CSGP,CSGP,US,NYSE/NASDAQ,Unknown,Equity,USD
131,COST,COST,US,NYSE/NASDAQ,Unknown,Equity,USD
132,CTRA,CTRA,US,NYSE/NASDAQ,Unknown,Equity,USD
133,CRH,CRH,US,NYSE/NASDAQ,Unknown,Equity,USD
134,CRWD,CRWD,US,NYSE/NASDAQ,Unknown,Equity,USD
135,CCI,CCI,US,NYSE/NASDAQ,Unknown,Equity,USD
136,CSX,CSX,US,NYSE/NASDAQ,Unknown,Equity,USD
137,CMI,CMI,US,NYSE/NASDAQ,Unknown,Equity,USD
138,CVS,CVS,US,NYSE/NASDAQ,Unknown,Equity,USD
139,DHR,DHR,US,NYSE/NASDAQ,Unknown,Equity,USD
140,DRI,DRI,US,NYSE/NASDAQ,Unknown,Equity,USD
141,DDOG,DDOG,US,NYSE/NASDAQ,Unknown,Equity,USD
142,DVA,DVA,US,NYSE/NASDAQ,Unknown,Equity,USD
143,DAY,DAY,US,NYSE/NASDAQ,Unknown,Equity,USD
144,DECK,DECK,US,NYSE/NASDAQ,Unknown,Equity,USD
145,DE,DE,US,NYSE/NASDAQ,Unknown,Equity,USD
146,DELL,DELL,US,NYSE/NASDAQ,Unknown,Equity,USD
147,DAL,DAL,US,NYSE/NASDAQ,Unknown,Equity,USD
