date,close
2018-01-01 00:00:00+05:30,18038.052734375
2018-01-02 00:00:00+05:30,17974.1171875
2018-01-03 00:00:00+05:30,17947.87109375
2018-01-04 00:00:00+05:30,17911.140625
2018-01-05 00:00:00+05:30,17948.052734375
2018-01-08 00:00:00+05:30,18226.20703125
2018-01-09 00:00:00+05:30,18072.8671875
2018-01-10 00:00:00+05:30,18055.595703125
2018-01-11 00:00:00+05:30,18186.421875
2018-01-12 00:00:00+05:30,18019.548828125
2018-01-15 00:00:00+05:30,18139.8984375
2018-01-16 00:00:00+05:30,18099.208984375
2018-01-17 00:00:00+05:30,18186.015625
2018-01-18 00:00:00+05:30,18139.9453125
2018-01-19 00:00:00+05:30,18205.9765625
2018-01-22 00:00:00+05:30,18210.853515625
2018-01-23 00:00:00+05:30,18023.560546875
2018-01-24 00:00:00+05:30,17981.91015625
2018-01-25 00:00:00+05:30,17901.890625
2018-01-29 00:00:00+05:30,18117.6171875
2018-01-30 00:00:00+05:30,17767.962890625
2018-01-31 00:00:00+05:30,17681.109375
2018-02-01 00:00:00+05:30,17788.287109375
2018-02-02 00:00:00+05:30,17748.6875
2018-02-05 00:00:00+05:30,18183.556640625
2018-02-06 00:00:00+05:30,17823.14453125
2018-02-07 00:00:00+05:30,17539.38671875
2018-02-08 00:00:00+05:30,17856.09375
2018-02-09 00:00:00+05:30,17756.16015625
2018-02-12 00:00:00+05:30,17813.806640625
2018-02-14 00:00:00+05:30,17785.779296875
2018-02-15 00:00:00+05:30,17774.251953125
2018-02-16 00:00:00+05:30,17820.8671875
2018-02-19 00:00:00+05:30,17705.8984375
2018-02-20 00:00:00+05:30,17679.103515625
2018-02-21 00:00:00+05:30,17462.19140625
2018-02-22 00:00:00+05:30,17215.796875
2018-02-23 00:00:00+05:30,17243.962890625
2018-02-26 00:00:00+05:30,17424.916015625
2018-02-27 00:00:00+05:30,17332.591796875
2018-02-28 00:00:00+05:30,17031.3359375
2018-03-01 00:00:00+05:30,17049.74609375
2018-03-05 00:00:00+05:30,16722.099609375
2018-03-06 00:00:00+05:30,16550.533203125
2018-03-07 00:00:00+05:30,16266.638671875
2018-03-08 00:00:00+05:30,16491.33984375
2018-03-09 00:00:00+05:30,16590.453125
2018-03-12 00:00:00+05:30,16630.4609375
2018-03-13 00:00:00+05:30,16849.607421875
2018-03-14 00:00:00+05:30,16664.044921875
2018-03-15 00:00:00+05:30,16427.90625
2018-03-16 00:00:00+05:30,16333.5791015625
2018-03-19 00:00:00+05:30,15962.96484375
2018-03-20 00:00:00+05:30,16292.61328125
2018-03-21 00:00:00+05:30,16027.306640625
2018-03-22 00:00:00+05:30,15812.720703125
2018-03-23 00:00:00+05:30,15823.291015625
2018-03-26 00:00:00+05:30,15759.310546875
2018-03-27 00:00:00+05:30,16120.4072265625
2018-03-28 00:00:00+05:30,16420.93359375
2018-04-02 00:00:00+05:30,16874.302734375
2018-04-03 00:00:00+05:30,17374.15234375
2018-04-04 00:00:00+05:30,17941.03515625
2018-04-05 00:00:00+05:30,17807.470703125
2018-04-06 00:00:00+05:30,18151.83984375
2018-04-09 00:00:00+05:30,18193.16796875
2018-04-10 00:00:00+05:30,17997.994140625
2018-04-11 00:00:00+05:30,18127.09375
2018-04-12 00:00:00+05:30,18391.033203125
2018-04-13 00:00:00+05:30,17832.21875
2018-04-16 00:00:00+05:30,17820.232421875
2018-04-17 00:00:00+05:30,17661.056640625
2018-04-18 00:00:00+05:30,17681.611328125
2018-04-19 00:00:00+05:30,17816.998046875
2018-04-20 00:00:00+05:30,17755.25
2018-04-23 00:00:00+05:30,17948.005859375
2018-04-24 00:00:00+05:30,17919.0234375
2018-04-25 00:00:00+05:30,17838.32421875
2018-04-26 00:00:00+05:30,17905.85546875
2018-04-27 00:00:00+05:30,17840.0078125
2018-04-30 00:00:00+05:30,17685.255859375
2018-05-02 00:00:00+05:30,17800.818359375
2018-05-03 00:00:00+05:30,17726.361328125
2018-05-04 00:00:00+05:30,17621.591796875
2018-05-07 00:00:00+05:30,17858.779296875
2018-05-08 00:00:00+05:30,17338.515625
2018-05-09 00:00:00+05:30,17246.880859375
2018-05-10 00:00:00+05:30,17037.03515625
2018-05-11 00:00:00+05:30,17004.62890625
2018-05-14 00:00:00+05:30,16598.880859375
2018-05-15 00:00:00+05:30,16721.87109375
2018-05-16 00:00:00+05:30,16515.67578125
2018-05-17 00:00:00+05:30,16310.9755859375
2018-05-18 00:00:00+05:30,16143.41796875
2018-05-21 00:00:00+05:30,16059.9345703125
2018-05-22 00:00:00+05:30,16597.927734375
2018-05-23 00:00:00+05:30,16410.818359375
2018-05-24 00:00:00+05:30,16183.9306640625
2018-05-25 00:00:00+05:30,16229.08984375
2018-05-28 00:00:00+05:30,16490.431640625
2018-05-29 00:00:00+05:30,16912.353515625
2018-05-30 00:00:00+05:30,16907.251953125
2018-05-31 00:00:00+05:30,16739.876953125
2018-06-01 00:00:00+05:30,16671.431640625
2018-06-04 00:00:00+05:30,16535.1796875
2018-06-05 00:00:00+05:30,16325.146484375
2018-06-06 00:00:00+05:30,17278.68359375
2018-06-07 00:00:00+05:30,17060.1640625
2018-06-08 00:00:00+05:30,16904.458984375
2018-06-11 00:00:00+05:30,16690.427734375
2018-06-12 00:00:00+05:30,16508.6015625
2018-06-13 00:00:00+05:30,16460.412109375
2018-06-14 00:00:00+05:30,16708.294921875
2018-06-15 00:00:00+05:30,16667.015625
2018-06-18 00:00:00+05:30,16461.279296875
2018-06-19 00:00:00+05:30,16362.6962890625
2018-06-20 00:00:00+05:30,16263.3330078125
2018-06-21 00:00:00+05:30,16478.732421875
2018-06-22 00:00:00+05:30,16454.59375
2018-06-25 00:00:00+05:30,16409.423828125
2018-06-26 00:00:00+05:30,16206.57421875
2018-06-27 00:00:00+05:30,15782.1357421875
2018-06-28 00:00:00+05:30,15821.212890625
2018-06-29 00:00:00+05:30,16042.935546875
2018-07-02 00:00:00+05:30,15979.4443359375
2018-07-03 00:00:00+05:30,16023.4658203125
2018-07-04 00:00:00+05:30,16041.880859375
2018-07-05 00:00:00+05:30,16569.12109375
2018-07-06 00:00:00+05:30,16281.1044921875
2018-07-09 00:00:00+05:30,16527.294921875
2018-07-10 00:00:00+05:30,16347.2138671875
2018-07-11 00:00:00+05:30,16131.0791015625
2018-07-12 00:00:00+05:30,15984.3427734375
2018-07-13 00:00:00+05:30,16149.08203125
2018-07-16 00:00:00+05:30,15913.658203125
2018-07-17 00:00:00+05:30,15955.07421875
2018-07-18 00:00:00+05:30,16173.4970703125
2018-07-19 00:00:00+05:30,16218.6201171875
2018-07-20 00:00:00+05:30,16118.935546875
2018-07-23 00:00:00+05:30,16486.111328125
2018-07-24 00:00:00+05:30,17160.62890625
2018-07-25 00:00:00+05:30,17448.462890625
2018-07-26 00:00:00+05:30,17133.60546875
2018-07-27 00:00:00+05:30,17076.982421875
2018-07-30 00:00:00+05:30,17050.58984375
2018-07-31 00:00:00+05:30,17152.248046875
2018-08-01 00:00:00+05:30,17261.64453125
2018-08-02 00:00:00+05:30,17084.583984375
2018-08-03 00:00:00+05:30,17477.326171875
2018-08-06 00:00:00+05:30,17306.767578125
2018-08-07 00:00:00+05:30,17491.888671875
2018-08-08 00:00:00+05:30,17569.400390625
2018-08-09 00:00:00+05:30,17486.025390625
2018-08-10 00:00:00+05:30,17747.65234375
2018-08-13 00:00:00+05:30,17580.806640625
2018-08-14 00:00:00+05:30,17586.625
2018-08-16 00:00:00+05:30,17214.548828125
2018-08-17 00:00:00+05:30,17268.8359375
2018-08-20 00:00:00+05:30,17207.453125
2018-08-21 00:00:00+05:30,17308.142578125
2018-08-23 00:00:00+05:30,17283.404296875
2018-08-24 00:00:00+05:30,17224.53515625
2018-08-27 00:00:00+05:30,17148.080078125
2018-08-28 00:00:00+05:30,17302.373046875
2018-08-29 00:00:00+05:30,18395.646484375
2018-08-30 00:00:00+05:30,20161.384765625
2018-08-31 00:00:00+05:30,20147.9609375
2018-09-03 00:00:00+05:30,19595.345703125
2018-09-04 00:00:00+05:30,19167.8828125
2018-09-05 00:00:00+05:30,18965.033203125
2018-09-06 00:00:00+05:30,19484.84765625
2018-09-07 00:00:00+05:30,19610.0
2018-09-10 00:00:00+05:30,19066.2734375
2018-09-11 00:00:00+05:30,18785.453125
2018-09-12 00:00:00+05:30,19286.34765625
2018-09-14 00:00:00+05:30,19300.505859375
2018-09-17 00:00:00+05:30,19227.84765625
2018-09-18 00:00:00+05:30,18990.275390625
2018-09-19 00:00:00+05:30,18894.98828125
2018-09-21 00:00:00+05:30,18322.900390625
2018-09-24 00:00:00+05:30,18054.62890625
2018-09-25 00:00:00+05:30,18463.357421875
2018-09-26 00:00:00+05:30,18058.755859375
2018-09-27 00:00:00+05:30,18112.076171875
2018-09-28 00:00:00+05:30,18263.986328125
2018-10-01 00:00:00+05:30,18127.2890625
2018-10-03 00:00:00+05:30,18047.76171875
2018-10-04 00:00:00+05:30,17521.576171875
2018-10-05 00:00:00+05:30,17237.638671875
2018-10-08 00:00:00+05:30,16823.05078125
2018-10-09 00:00:00+05:30,16899.140625
2018-10-10 00:00:00+05:30,17025.537109375
2018-10-11 00:00:00+05:30,16751.814453125
2018-10-12 00:00:00+05:30,17046.423828125
2018-10-15 00:00:00+05:30,17130.71484375
2018-10-16 00:00:00+05:30,17370.53515625
2018-10-17 00:00:00+05:30,16840.091796875
2018-10-19 00:00:00+05:30,17462.984375
2018-10-22 00:00:00+05:30,16753.28125
2018-10-23 00:00:00+05:30,16250.59765625
2018-10-24 00:00:00+05:30,16814.02734375
2018-10-25 00:00:00+05:30,17437.287109375
2018-10-26 00:00:00+05:30,17050.640625
2018-10-29 00:00:00+05:30,17124.580078125
2018-10-30 00:00:00+05:30,18085.05078125
2018-10-31 00:00:00+05:30,18092.103515625
2018-11-01 00:00:00+05:30,17980.5546875
2018-11-02 00:00:00+05:30,17981.1953125
2018-11-05 00:00:00+05:30,17782.240234375
2018-11-06 00:00:00+05:30,17753.333984375
2018-11-07 00:00:00+05:30,17849.99609375
2018-11-09 00:00:00+05:30,18183.44921875
2018-11-12 00:00:00+05:30,17976.892578125
2018-11-13 00:00:00+05:30,18008.41015625
2018-11-14 00:00:00+05:30,17586.625
2018-11-15 00:00:00+05:30,17610.541015625
2018-11-16 00:00:00+05:30,17155.361328125
2018-11-19 00:00:00+05:30,17139.556640625
2018-11-20 00:00:00+05:30,17037.35546875
2018-11-21 00:00:00+05:30,17146.84375
2018-11-22 00:00:00+05:30,17438.4296875
2018-11-26 00:00:00+05:30,17131.3125
2018-11-27 00:00:00+05:30,16810.455078125
2018-11-28 00:00:00+05:30,17121.556640625
2018-11-29 00:00:00+05:30,17209.052734375
2018-11-30 00:00:00+05:30,17383.638671875
2018-12-03 00:00:00+05:30,17595.056640625
2018-12-04 00:00:00+05:30,16962.7265625
2018-12-05 00:00:00+05:30,16815.306640625
2018-12-06 00:00:00+05:30,16844.763671875
2018-12-07 00:00:00+05:30,16980.3203125
2018-12-10 00:00:00+05:30,16935.240234375
2018-12-11 00:00:00+05:30,17504.85546875
2018-12-12 00:00:00+05:30,17565.783203125
2018-12-13 00:00:00+05:30,17977.166015625
2018-12-14 00:00:00+05:30,18041.576171875
2018-12-17 00:00:00+05:30,18014.591796875
2018-12-18 00:00:00+05:30,18197.517578125
2018-12-19 00:00:00+05:30,17979.8671875
2018-12-20 00:00:00+05:30,17964.341796875
2018-12-21 00:00:00+05:30,18231.095703125
2018-12-24 00:00:00+05:30,17788.837890625
2018-12-26 00:00:00+05:30,17890.5859375
2018-12-27 00:00:00+05:30,17783.01953125
2018-12-28 00:00:00+05:30,17985.13671875
2018-12-31 00:00:00+05:30,17968.138671875
2019-01-01 00:00:00+05:30,17936.349609375
2019-01-02 00:00:00+05:30,17845.91796875
